document_id,review_text,sentiment
145,"I was always an iPhone user  till 8+ , then thought of changing to note 8 I loved that phone too but over the period of time I started realising there is nothing like IOS and iPhone. After using two high end androids (i keep changing phones) I witched back to iPhone and OMG I must say it has even become better it is so smooth like a butter on pan and IPhone X r is beauty, Liquid Retina is awesome and beautiful will not make you miss oled also the battery back up is woooowww .  This is the first ever phone I bought thru AMAZON I was skptical but thought of taking risk and yes Amazon delivered what they promised thru FREEDOM sale got a very good deal for 128 gb everyday I fall in love with this phone ..",positive
146,"6.1 inches screen for a phone is pretty good, feels heavy, but all that pales in comparison after the actual features of the phone are unlocked.I was informed that phone can be tracked even when switched off as per the new ios 13 update, camera quality is better , both front and back , fast charging too is great, i like the idea that the body is aluminium made as compared to the latest which after checking and reviewing holds up better after drop tests, face id recognition is great, but need back up in the form of app lock for unauthorized usage.Overall a great phone, at a amazing price, do not miss the chance to buy it, even if you feel it is heavy on your wallet, you wont get such a good phone loaded with features else where.Its like how the iphone 7 was the benchmark for future models , same goes for this phone.",positive
147,"Excellent deals offered by Amazon 38k after bank discount.......best iPhone for every aspect.......good camera ...... battery backup excellent......... looks elegant.....feels premium in hand.....and  one think i said to all , though it's a 720p display but display is excellent quality.......there is no panicked about it....and also played 1080p video in YouTube.......so .....go for it.......this is best budget iPhone at this price point......thank you Amazon........",positive
148,I bought 128g  at 57k performing much faster and more smoother experience on an iPhone. Battery life is above average. app switching is lightning fast.,positive
149,I love it <3,positive
150,I phone always like a dream phone... purchased this  in diwali sale in 38 k rs. My previous phone was s8 moved to xr and no regrates.,positive
151,Thank you amazon i got iphone XR 64GB black variant for 38000/- on big billion day sale,positive
152,"Top end model IPhone XR with the Price of 42k😎 Extremely satisfied... I was an android user for 6yrs and this was my first upgrade to iPhone.. Battery Standby is just next to impossible in any smart phones these days, Face ID fab!(One dis - If I covet half of my face during bike riding, it doesn’t recognise me😂)",positive
153,"Good phone. Go for it if you want an iPhone experience. Truth be told, I do miss a finger print sensor. But, at updating to iOS 13 the performance of the Face ID head become significantly faster.",positive
154,"I will not recommend anyone to buy XR,if you are considering iphone from camera perspective.",neutral
155,"There is nothing to dislike about this phone. I forgot Android after using this. This is superior class,u ll feel it when you hold it. Don't be a sad face for 3GB Ram, it's better than 8GB Android. Facelock can recognize you in dark. There is no finger print scanner. But still it's no issues",positive
156,First of all got it for 38000.  Great at this price but or maximum at 45k nothing more than that for this phone.,positive
157,I was previously a user of iPhone SE and was wonderstruck with its abilities. But due to battery life had to look at a changeover. However looking at the price was little suspicious whether the phone would be worth for the money. Here are the pros n cons...,positive
158,"This phone is good , i got it at Rs.45000 during this diwali sale, but after using this i was bound to think on the various aspects : considering the Ram and ROM ( 3 GB and 64 GB ) in this case , is the price ok , i felt that its really overpriced, we can get more features in Phones like Redmi Note 8 pro which is priced at around 16K ( discounts and bank offer are separate) this means we are paying for brand name or goodwill price simply to Apple. Then why we are not going for One plus models made in china as Apple i phone is also made in china for your information.",neutral
159,"This is my first iPhone after 10 years of being an android user. This review is after using this phone for 2 months. The performance has been top notch, battery life is very good considering  most of my days are moderate to heavy usage I still find 20-30 % battery the next day. Camera is good too but at time you miss the secondary lens for portraits and portraits don’t work on objects.",positive
160,"I am writing this review after using this phone for more than 10 days now . I upgraded this phone from iPhone 7 . The phone is really good , worth a buy if its on good sale .  128gb - around 55k",positive
161,"I am using apple from last 7 years. And never change apple phone frequently. I was using iPhone 6s from last 3 years but due to less space and batter backup, I need to upgrade it. I choose Apple iPhone because it's in between AppleXS and Apple X. Hardware A12 bionic chipset with 3 GB ram give my phone high speed on top of 128GB space thrilled the whole experience. In this new apple XR I still missed the center button especially when I play the games. Camera output is an amazing especially back camera. Also would like to appreciate the battery backup, I hardly change more than one time in 24hours. Now I do not need to my battery back always along with me ROFL.",positive
162,The best decision that I took was to give away my Samsung galaxy S8 and get this phone. I was skeptical at first considering on paper specs and the obvious inferior display. But I used it in a retail store and I didn’t mind the display at all. It was one drawback that i could live with if i was getting everything much better than on the android side at the price range.,positive
163,"Iphone is good. It dont have fingerprint reader, only faceid and password.",positive
164,iPhone XR performs better than those specs that it showed in paper for XR.,positive
165,A reasonably good product if you are into the Apple ecosystem and don't want to splurge.,positive
166,"Looks great and behaves well too. Camera is quite good for its resolution. Excellent battery life. Thank god I got rid of my android phone, finally!",positive
167,Gifted my wife with this phone for her birthday. Thanks to amazon for the fast delivery and maintaining their quality standards.,positive
168,"iPhone XR with A12 bionic chip with 3 GB RAM is fast. This is my 1st iPhone and I am very impressed with it's performance, processing power is fast and iPhone is very easy to use and it fits in my hand very well.",positive
169,"This is my first iPhone. I’m happy with the performance of XR. With hdfc credit card discount and exchange of old phone, it costed me 49.7k. Both front and rear Camera quality is great, battery lasts whole day with normal use. Face recognition is better than OnePlus 6T. XR’s almost HD display  can give tough competition to major FHD phones, side by side you won’t be able to spot any difference. Display is so crisp, no eye strain. And ios is buttery smooth. XR is more value for money than XS or X",positive
170,Best mobile compare to other Apple mobiles,positive
171,Awesome cellphone i have ever used..i have switched from Android(OP) to ios..which I believe..it cannot be compared with any os we have  in market..coming to the device it’s really awesome battery on an average use last for a day..i don not play any game..I mostly spend time on Twitter and on other apps...the only worst thing i find is the charging rate which really sucks...it takes appx an hour to full juice. Camera has been the best...not as good as of Samsung s series and note series  but for me its the best...face recognition works like charm...,positive
172,Its Apple so no comments on their quality and user experience. Fabulous purchase got it at 43K which is worth and enjoying it,positive
173,"Got this iPhone XR 128GB in an awesome deal of rs. 42,999 thanks to amazon.",positive
174,"need i say anything about this phone! it's a bomb. i bought the product red 64GB varient and let me tell you its sexier than it appears in the pictures. camera quality is really good. the portraits are awesome even though it has a single lens. the bezzel looks a bit wide compared to XS and XS Max, but if you are upgrading from Iphone 8 Plus or lower you won't find it different. The liquid display is really nice with wide range of colors displayed really well. i got this during the independence day sale for Rs.52K and its definitely a great deal. DEFINITELY RECOMMENDED!",positive
175,To review iPhone! Probably the only one I could afford but totally worth it.,positive
176,"This is the best value for money you can get. iPhone 11 has only a marginal improvement compared to iPhone XR. But the performance is almost at par with them. I had an iPhone 6s, which ran almost 4 years. Touch and feel you get from your iphone is unparalleled with any other phone.(I have used all platforms)",positive
177,"I bought a iphone XR  ,Which has some screen and camera issues  ,screen is freezing ,Amazon custome r Care talk like we did mistake ,not gud behaviour called to amazon ,they asked to go Apple store,already visited there from apple support we got information battery already replaced of this IMIE number.I told them ,but they were not agree,they again and again saying go there,we cant replace it.we just requested also said we paid 50000 for that but they dont agree,so if you buying pn and you have any issue in phone even it would be damaged they are not going to replace IT,and this seller is selling refurbish product.",negative
178,"Great phone! Best ux in the class, no offense android but why does my calculator need permission to access my contacts?",positive
179,"Not sure whether genuine product. Bought it on the first day of amazon sale. Within 15days, got a vertical line in the middle of display- see photos. Have bought 5 apple devices in the past and never had any problem with any of them so far. Since the return window closes within 19 days have to now take it to apple service center. Seriously makes me thing about the originality of the product.",negative
180,Good phone. Great screen size. But apple still has not fixed low light shooting. It still looks like crap when compared to oppo or Samsung or the +one series. It’s incredible how we end up paying so much for an iPhone which still doesn’t get its camera right. Battery life is good. Downside is the replacement of the phono jack for headphones with its lightning socket which operates both charger and headphones - which means you can only do one thing,positive
181,I just got my iPhone XR 128GB White phone. I feel am lucky to get 12% discount on MRP. In addition 10% discount on my Credit card. Also an 2% instantaneous cashback on a special day. Total paisa-vasool!!,positive
182,Got it after discount for 43000+ additional value of 4000 on phone exchange.,positive
183,"Feels like got robbed by apple I bought it for 64990 and after 10 days of launching iPhone 11 the price of this phone reduced to 54990 10000 drastic drop. Its bionic A12 chip is good and smooth but battery performance is bad, and it doesn't even have  Fingerprint sensor, the face detection wont work at all angles. Need to stop buying this apple product.",negative
184,"The iPhone is a great phone, but I am really impressed with amazon. I recieved the phone in less than 36hrs and checked the warranty and coverage on the Apple website. Everything was right in place, turns out I was unnecesarily hesitant to purchase the phone online. Also got one year screen insurance free in addition to the heavy discount!",positive
185, My review after one month of use,positive
186,Pathetic experience with this phone . Bought it for 60K and not worth the price . Assembled in China and lot many issues with battery and other features . Better to buy from stores which are assembled in India and are cheaper with better quality check . Learnt hard way to never but electronics from amazon .,negative
187,"I hot this product with 37K during big billion sale  ,and the product is super but it is not for you if you are a camera freak . Back camera and front camera both are good but front camera night vision is not enough . Over all battery life is good . Potrait mode  photos also good (without having a dual back camera)",positive
188,"Not gonna lie while I was transferring my iCloud stuff, the phone got heated up to the point where I had to switch it off and then start over again.",positive
189,The best camera and feel of security...,positive
190,"This is my 4th apple product. As usual, it’s apple works fine . Will easily can last upto 4 years. Battery- is just awesome, can last u full working day with heavy useage.",positive
191,"My second iphone and 3rd apple product so i can clearly say that if you are the first time user of apple product then you will surely give iphone XR 5 star rating but if you have been a long run user then you will think twice to give even 4 star also to this, may be after demise of Steve jobs apple has compromised with its quality, where as in till 2015 there were no comparison with any phone with iphone but now few products are giving strong comparison to it, apple is now only encashing its name but it will not good for the future of apple because now a days consumers are more aware, and if you are not giving 5 star to iphone the. Probably you have dealt with a wring product, sorry but not completely happy with XR. May be i will think next time when i will be upgrading my phone.",positive
192,Best battery life in an iPhone.,positive
193,"Awesome experience. Camera, performance and battery life is great. Totally worth every penny spent!",positive
194,1.The battery life is good.,neutral
195,"I got a very bad product from Amazon. This was really not expected from Amazon. i don't know whether its an issue from Apple or Amazon. From the day it has come it started giving me issues.Issues related Hardware like Distorted sound i.e. Other person cannot listen the voice clearly, voice becomes like mute, and Software Issues like Phone getting hanged [NEVER HEARD IOS HANGING], Not able to unlock the phone moreover not able to recieve a call. I am the first time user to the iPhone and got this sort of bad experience which was never thought of or never expected.I am really disappointed with the product.Also I think Battery Life can be improved. Camera quality and Face reader is OK.",negative
196,Thanks to Amazon for putting it on sale for 43K . Wonderful phone to have at such price . Battery life is perfect for heavy users . Although a double camera would have made it perfect.,positive
197,Honestly speaking I love apple products due to the simple design and fluid user experience with the products. I am a fan of black but i got the Product RED as part of the amount goes for HIV research.,positive
198,"This phone is just awesome. Screen is really good and bright, you can’t really make a difference between the screen and an AMOLED screen. I have compared them side by side. You can’t really say the difference.",positive
199,Note: No fingerprint reader in the phone so please consider it as the review of face id.,positive
200,"Received a faulty set, had to take it to a service centre within 2 months and they had to replace it with a new phone.",negative
201,"Good purchase during the sale. I like it. Moved from 6 to XR, which makes it bulky in your hand. But i will get use to it. Battery backup is good. I love the photos clicked in Protrait mode.",positive
202,"Good phone. Being a 1st time user of ios, i liked it a lot. Although the compromises made for this phone like inferior display, big bezels nd notch are cleary visible and annoying. Battery life is top notch although supplied 5 watt charger is a trash. Using my iPad charger to charge it fast. Camera gives dslr quality pics in daylight nd outdoors but night photos are below average. In total a good package to try out apple ecosystem.",positive
203,"I purchased this phone from amazon during the freedom sale got it for an effective price 49k . This is my first iphone and honestly not regretting a bit . I was worried about the specs such as LCD screen and camera quality but it did not disappoint me this one camera on XR is 1000 times better than those Three cameras on my samsung A50 and the LCD screen hardly makes a difference its crystal clear and vibrant . The battery life is just beautiful it can stand for 48hours on a single charge . Overall it a good buy , Apple is never great with specs but the always kills it",positive
204,The phone was not getting power on..,negative
205,"It's a fabulous product. I'm sure everyone knows it's quality. Only one thing that I should mention here regarding the battery. I was definitely expecting a better battery life in the normal mode. It's merely giving a day with normal usage in that mode. However, in the Low Power Mode, its giving a great battery life without compromising any regular features of the phone.",positive
206,"My experience with iPhones was never bad but this time with iPhone XR the phone started hanging from the very first month, it has not yet been a month and is already hanging.. did not expect this from apple gadgets. everything else is good the battery life , camera but its a little heavy, heats up and has started HANGING.",positive
207,Since from a lot of months i have been waiting to buy an iPhone XR in great Indian sale and as more than I expected I bought this mobile for a huge price drop thanks to Amazon for that.I ordered on Saturday noon 1 Pm and I got the product on the next day early morning 7 Am a super fast delivery from Amazon.,positive
208,"If you are an Android user, you will find iPhone difficult in many respects. Firstly iPhone is not google friendly. Google updates will not happen automatically. Many free apps found in Android phones are not available in iPhone set up or you have to pay dearly. And there are many moreeeeeee......",neutral
209,This is my first iPhone and I am being excited. Close to a month now and I am still saying my new iPhone.,positive
210,"Hi Team,",neutral
211,I dont understand why would anyone use any other phone other than Iphone.  God please forgive their ignorance. They know not what they are missing,positive
212,My iphone was excellent bt i want my iphone complete bill...in box I can’t receive bill,negative
213,Waited for a long time to get this mobile,positive
214,Want to return but u are not accepting it.. Bad experiance on amazon... Really paying a huge amount and giving bad quality products....,negative
215,The product is awesome i have brought the same in Sep & there has been no issues it’s currently running on IOS 13.2.2 & the phone is very fast it also has e-sim which is a major plus point face recognition is very good without any hassle & the battery is good enough to take it for a day & half. As this phone was bought after APPLE TV + was released we have received a annual subscription free with the product from 1st Nov 2019,positive
216,Pls pls don't buy from amazon or any other site buy it from store because i got a defected xr its face id is not working and it is having heating issues and now amazon is also not replacing it,negative
217,"This is my third iPhone and I must say - each time Apple introduces an iPhone, they improve a lot in each model. iPhone XR is one of best selling iPhone for year 2018. Its not that cheap but still standout in crowd. Its not expensive than iPhone XS but still have all the features same as other top models- only difference is OLED screen but I can live with that. Recently introduced iPhone 11 and XR have only one difference which is of Price. Most of the features are exactly same. Best Battery backup ever in an iPhone I must say. Soothing and flawless iOS.  Camera is more than average and very much improved as compared to previous generations. Glass frame back and front and very appealing to eyes. Overall, a satisfactory experience with this device. A must buy if are considering iPhone 11 but have low budget.",positive
218,"Fingerprint reader given one star coz it has Face ID 😂, it works lightning fast (even in the dark) , super build quality, battery backup is nuts (works for more than 2 days with decent use) , Camera quality is amazing for photography and videography. Preferred product over iphone X if screen quality is not the main thing to notice (doesn't matter if you don't watch 4K videos on youtube)",positive
219,"Using an iPhone after 6 years. Have been using Android and the transition is bit difficult as I am used to having different functions. Happy with product, it is not as bulky as I assumed. Vibrant colour and smooth functioning. Delivery was also very quick.",positive
220,Looks: 5 /5,positive
221,Display 3.7/5 — but u will get use too it not too bad better than expensive android phones  (DONT BUY IF DISPLAY IS YOUR PRIORITY),positive
222,Only face recognition and no fingerprint. I think the phone is very good. Screen could be little smaller However these days only big screen phones are being launched so lets wait for future.,positive
223,Heyaa! I just purchased Iphone couple of weeks back and its been 15days of my experience with iphone! This is the first ever Iphone for me and im super excited to buy this....here goes my quick review in brief about the entire phone specs!,positive
224,3 years with iPhone 6s and never faced a lag or hang . Battery started draining faster obviously 3 years and heavy usage did that .,positive
225,"It is very sad to say that Amazone allow to seller to sell the Damage iPhone to their site,.I purchase iphone XR but after receiving it is found that speaker was not good,vibration problem and camera quality was bad.I contacted to Amazone customer care but they refuse to do the same.”, Amazone customer told  that everything ll be look by iPhone care.I went there and they told me to submit the phone.They r not Exchanging  the same.Its been feel like I m using 2nd hand phone.Really very disappointed.",negative
226,It’s good to be back with Apple and IOS!!,positive
227,"It's my first iphone ..i had also read a review about this phone which made me convinced to buy this particular product and model,though color yellow is my own choice,actually I wanted to buy iPhone 11 but when I read a review about this phone i got convinced bcoz sometimes it's really difficult to decide between to best things. Guys whosoever wants to buy iPhone 10 xr plz go for it it's a beautiful phone with all latest feature. Picture quality, screen touch, face recognition,battery life every thing is perfect,And trust me u won't regret..!!💕.",positive
228,Great deal.. Got it for 42999 for 128 GB version,positive
229,Pros:,positive
230,I had s4 and SE...bought this because it is from apple..I am not a techie.. now I like SE,positive
231,"I received the phone on 21.10.2019, the phone operation was fine till 23.10.2019 and from next day it showed NO SIM after that all other sims were tried but the phone always displayed no sim installed and never worked again, this is the first time I had such a bad experience with Amazon, I was very very upset and today handed over the I phone Xr 128 GB to the authorised service centre in Kolkata, their response was not very positive and they will give feedback in 4-6 days time.",negative
232,Fantastic Apple phone in this price range.,positive
233,It is genuine and good phone. Esim facility is not working. May have to check with the service provider as well.,negative
234,The name Apple defines everything. Awesome phone. The delivery was on time thanks to Amazon.,positive
235,"Good battery life and attractive design,  amazon offered great discount so went for it,  little heavy but that's OK.  Overall very nice product",positive
236,"Thanks for Amazon for genuine product and safe delivery. Couple of month back i bought this mobile for 55,999. I am quite shock to see the reduction in price. However, The mobile works absolutely fine and truely a flagship phone. Smooth UI, Outstanding camera and average battery life.",neutral
237,"Delivered with in 2 days, Thanks to Amazon Prime.",positive
238,"Best iphone out there coming from iphone 6 , XR just blown my mind away . Below are pros n cons of the phone",positive
239,"Phone not working. Phone was autotyping and then eventually frozen screen. I bought on 15th oct and barely used for few days. No support from amazon for replacement for defective piece. One thing to note that when I received this piece, it was in a locked bag. However, there should have been some QR code on bag which the delivery boy scans. There was no such code on the bag and the delivery center sent the qr code as whatsapp on my phone.",negative
240,Indeed a great phone. After a month usage I can say following:,positive
241,"While on call, if you want to see the screen, it takes time to turn on. So if you want to disconnect or add another call, frst you have to wait for the screen to turn on.. which is very irritating. One can’t even press the home button as it is not there in xr. Even aftr pressing power key, screen doesn’t turn on immediately nd pressing it twice results in disconnection of call. 😤😤",neutral
242,Thank u amazon for letting me hv this phone for under 40k. Everything about the phone is exceptional and for a change battery is excellent. Camera is good too and with dual sim capabilities the phone is sure a winner. The 11 is the same phone with just dual camera but 20k higher. So it didn’t make sense to buy the iPhone 11.,positive
243,iOS 13 is a failed attempt from apple. The phone doesn't have a smooth wifi or network connectivity. Its worse than some other phones half the cost. Absolute disappointment. Even older phones like 5s and 6s don't show network issues while the iPhone XR has these issues. Apple support is clueless and can't solve the issue. Disappointed with this apple product. All else is good just that the phones connectivity which is the most important thing for a phone is atrocious. Avoid if u can.,negative
244,"I’m very happy with this Apple product except call records. I didn’t find any app that suits my iOS XR in the store, rest everything works well.",positive
245,"Everything on this XR works extremely well but the only problem that i have faced is that there is some kind of manufacturing defect in the camera lens.The photos shot have a black spot kind of smoky.Its only visible when something bright like sky or white wall is shot.Also,I’ve wiped the camera glass many times so it’s not on the camera but the inside lens.Guys,phone is quite good just be careful while purchasing can happen with anyone.",positive
246,I have been using iPhone XR for about a week and I am impressed with the purchase and the phone has met my expectations. Here are some of the facts:,positive
247,For: Great battery life for an iPhone,positive
248,"Pros - good screen resolution, camera quality, battery back up is good. Good screen size.",positive
249,"I purchased this phone (Apple iPhone XR (128GB) - Black) during the Amazone Deewali sale, working fine and no issues so far. Installation and configuration was pretty easy as my previous phone was also iphone. I have checked and verified the product and it is a genuine one. The convenience part  is copying contacts, photos , audio & video files took less than 2 min. In overall,  phone is  good and i got it for around 50K with a Credit card refund offer of 2.5k back after 3 months. But I didn’t receive the refund so far. Spoke to bank and they advised to get in touch with Amazon. Not sure where to reach now.",neutral
250,"I was a bit skeptical about buying it on Amazon. But happy to say..No regrets at all on this purchase. Works exactly as advertised. Absolutely no issues at all. Great battery life, nice photos. While the other variants of the latest iPhone have oled screen, this one has an lcd screen. But I don't think it is making a difference to me. The screen quality is excellent. Overall very satisfied with this purchase.",positive
251,First time iOS user. Shifted from android to iOS finally,positive
252,Reviewing the device after a months of usage.,positive
253,Battery life 5 hour and heating too much...Amazon se na kharide phone Sayed discount ke Naam pe refurbished phone dete hain....iPhone me heating problem samanya nahi hain....mera phone change kardo amazonwale,negative
254,"Nice phone got it for rs44000 after discount.with no cost emi from Amazon icici credit card. Red is beautiful. Battery back is good last for more than one day in my case. Performance, quality And finish awesome. Got update to iOS13. Amazon super fast delivery in 14hrs. Phone was covered with innovative tamper proof packaging and a code ,otp was provided to me by sms before delivery. Code to me matched with code on packaging.",positive
255,There's no fingerprint sensor as its Iphone X series..face lock works good even in dark. Display is good fully visible in outdoors. Nice battery backup. Dual sim makes it awsome i.e one E Sim and normal one. May pay nominal fee for esim to operator. Currently only Jio and Airtel support esim..so please consider that.,positive
256,I received this product with slight scratch on the camera edges. It can be easily noticeable and,negative
257,My 1st iPhone. I liked it. Only difficulty I find is I didn’t get much variety Of cases and cover for this model. You have to use for hands to handle this phone because of its size and skin. I purchased it in sell at Rs 46k in Nov 19. I prefer volume keys to be in right hand side and music aux cable on top which makes a mobile easy to handle and operate,positive
258,I had purchased the Mobile for Gift to My Son. When I started it on 23rd Oct I found that the some of the functions of the Mobile are not working. To my disapointment I could not return as it was not showing the option. The return period was valid but could not return.,negative
259,I bought a Product Red iPhone XR in the Great Indian Amazon sale in exchange for my 3 year old iPhone 7. I got the 128 GB version for ₹ 40k.,positive
260,Best value for money apple device right now got this iphone xr for 38k steal price totally worth it i am not an apple fanboy i use my oneplus 7 along with this device the softare smoothness is unmatchable camera is great and brand value is superb but main cons is slow charger it takes almost 3hr to complete the charge and display is also good but flat/accurate colours but i like the saturated one of my 1+ 7 but the quality is very nice closer to 1080 full hd panel for so under 45k is the best apple device you can get but if display is your main priority than oneplus 7t is a better overall device along with fast charging in this price range,positive
261,I checked the IMEI with Apple once i got the phone and it is genuine,positive
262,"Hi, i have purchased this phone on 27th sep,  as i am prime member so i got this product on 30th sep.  I have created apple i. D pass word..  Since morning the very next day of product received..  Today is 1st oct 2019.. In a single day..  Even not completing 24 hours..  It is getting hang..  And it took time to almost 4 hours to unlock my device..  Even though i was not able to unlock my screen",negative
263,I have been using this Phone for about 5 months. I had used 5s and 6s plus. This phone is definitely a Big Big upgrade from former models. It’s brilliant in every possible way. The two main concerns which I had earlier with iPhones were battery life and secondary SIM card. I’m happy that finally Apple heard us and released this beast. You might wonder about thick bezels and LCD display on this phone. I bet you don’t notice them at all when you get along with this phone. No wonder why XR is the best selling smartphone worldwide. Battery life is excellent. Enough of reviews. Just go for it. You won’t regret at any point of time!,positive
264,"A superb smartphone at this price range, bought k20 pro a few days back but wanted to get an iPhone, got it on the early prime member sale at an amazing price, everything is perfect, except for the camera which shows a yellowish pictures everytime rest of all battery, screen performance is what I needed the most and this didn’t let me down. Thanks amazon and apple for timely delivery and a best product",positive
265, Everything is awesome except battery.,positive
266,This does not seem to be a genuine product. My phone goes completely silent many times and i have to restart it. The seller is not genuine. Better go for other sellers or offline.,negative
267,"Really super experience,simply best quality,since 10 eyrs I used android and now feeling ios and iPhone quality,before I used Samsung S9plus which bought for 65k now it’s awailable for 28k means 25k worth product they sold for 65k.So my final  openion is shift to ios and iphone xr is value for money.",positive
268,Best battery life amongst current iPhones...lightning fast with the most current A12 processor...specs are almost at par with the iPhone XS/XS Max...except for the camera and display. All in all...excellent price/value equation.,positive
269,I purchase in amazon festive sale at 40000 which is great but if one buy under 50000 at that price also it is amazing,positive
270,I'm regular Amazon buyer for many years now.Got my first iPhone xr delivered on 7/10/2019.But sorry to inform it stopped working from 21/10/2019.Amazon delivered Apple phone which is a most trusted brand in world.Dont know whose fault it is.I contacted Apple authorised service centre ie. Icare  who has d mobile to Bangalore.And now I'm waiting for their reply.My trust on Amazon is affected,negative
271,Product is good what we bought from Apple store but what Amazon delivered is not good  I suspect this not good quality product Amazon delivered during sale  with in a month one day this iPhone abruptly went off ND I was not able to on it again,negative
272,"Very beautiful phone...very long battery life, superb camera quality...thanks a lot Amazon for such great discount during prime day sale n for making it affordable ...very happy with my purchase😊😊😊",positive
273,The phone is a little big and handling it single handed might be a problem but size matters ! The display and the face recognition is awesome,positive
274,"Still now doing great . iPhone XR is a great phone , upgraded from iPhone 8+ , n i am totally satisfied. Yellow is a beautiful colour but the only con is the side bezels n aluminium frame colour.",positive
275,Good battery backup so far. Little bit heavy compared to my previous version. Face unlock feature is a bit irritating sometimes as it gets unlocked sometimes when u don’t wanna do it,positive
276,Well I’m writing this review after 3months of usage.,positive
277,"Writing this review after 1 week of usage. Purchased the 128 GB version during the freedom sale for 57k. I was confused between One plus 7 Pro, IPhone XS and the XR and I must admit that it turned out to be a good decision. Its a classy product and feels premium in hand compared to other devices in this price range. The features that the other phones boast about are hardly being used in day to day life unless you are an avid gamer. The screen size is just perfect and quality is not bad as being highlighted in some of the reviews on youtube. Battery life is excellent, camera is very good and the phone is waterproof. Performance is excellent with A12 Bionic processor.",positive
278,"I used to be an apple hater but no other phone ever matches the gaming optimisation of the iPhone XR/XS/XS Max. These devices with the A12 bionic chip just beat any other android devices in graphics rendering performance without a doubt. People have been complaining about the display that is basically 828p but trust me, you won’t even notice the difference between a proper 1080p screen and this one. In fact this screen looks better than most of the 1080p mobile phone screens (thanks to the liquid retina display technology it uses). The camera is amazing in all aspects and one of the best out there in the smartphone market but it can’t click portraits without detecting a human face (P.S. you can download an app named halide at the appstore to click non human portraits).",positive
279,After 2 weeks of usages I am giving my review:,positive
280,Very good phone but can be priced better as this can be considered as low in value for money otherwise,positive
281,Best budget phone from Apple with better image stabilisation similar to iPhone XS. Battery life is extremely competitive with one plus battery's lifetime.,positive
282,One of the best iPhone ever. Features are fabulous and battery life is excellent. On an average it lasts up to 10 hrs if you are an extensive phone user. This includes data usage and voice calling.  Bit heavy I comparison to other iPhones or android phones but might be that’s the trick it’s good on battery life. I’ll give 10/10,positive
283,"The camera quality is not as good as I excepted it to be. It forms grams in the captures which is very evident when the pictures are projected on a monitor or a tv screen. Battery life is superb, goes more than 36 hours with normal usage until it hits the 20% low. Face recognition is perfect.",positive
284,"Everything else is quite well except battery consumption which does not lie with the promised service that is upto 25 hrs of talktime (wireless) and upto 16 hrs of video streaming (wireless), at all.",negative
285,"Hi, The device is good as it has everything what people look for in this price segment, i have used both i11 and XR , 11 is best because it has new processor rest XR is also a good option.",positive
286,"I have received this product  on 1 Jul 2019, Since then i am experiencing difficulty with wi-fi Connections (taking some time to connect, not connecting spontaneously, not detecting other Wi-fi connections). Face ID not working properly (taking time to detect).  I was thinking Amazon sold the one of the damaged product. Very  bad experience with such a costly mobile ordered in Amazone",positive
287,"Got.the product today, heating up very fast , and also not connecting to Android and other equipment. Not performing when trying to upload to cloud, etc. Connectivity issues.  Amazon says no refund , am in the.process of cancelling other buy orders.",negative
288,"Was using X 64gb from last 2 yrs, apart from OLED display things are pretty much the same",positive
289,Awesome...,positive
290,"iPhone XR is brilliant perfect value for money phone giving all the specs of latest iPhone in a reasonable price. Packs the same display, screen & pixel density as iPhone 11 only difference being camera upgrade & A 13 bionic processor rest almost everything is same. Excellent battery life, display in iPhone XR. The White Colour looks simple, sober & classy unlike dull creamy white in XS or XS Max last year. All in all a very good phone & thoroughly satisfied with it.",positive
291,This phone really feature-rich.,positive
292,Terrific Purchase. Initially there was a heating issue while updating software but it has gone now and working excellent.,positive
293,"Coming from iphone 8, i really didn't need this upgrade..but believe it or not..i am flattered..got a stellar deal of 40k for 128GB..camera is good from iphone 8..overall still it can't beat my other beast Samsung Galaxy S10 plus..but here is the cliche..an iphone is an iphone.",positive
294,I was worried that it will be little oversized with 6.1 inch but fits well . Battery backup is good one full charge keeps it running for 1.5 days . Not tested camera yet . Got it in very good deal at 46k . Blue colour looks good.,positive
295,"Third class screen and resolution, Very poor outdoor visiblity, network issue with dual sim, wifi drop/speed issue, slow data/ltr issue...slow charger included which takes ages for full charge...",negative
296,I am writing review after two months of usage.,positive
297,Great battery life. We're getting a battery life of almost upto 2 days now.,positive
298,"I was skeptical at first. Some people mentioned that they received fake of defective products. In my case, the product is genuine. I checked it’s serial number on Apple website too. There is no difference in performance compared to people who bought from stores.",positive
299,What do I say about it. Night vision of camera is not at all good. Battery literally gets drain if we use mobile data for longer time. Yes but I have to admit if we do not use mobile data or wifi battery life is longer. Face recognition is not as fast as I was thinking compare to other brands with same features. But I loved my iPhone regardless of all this little issues.,positive
300,"All the performance is good with all working features. and the main point was the battery backup of the phone it will minimun 1 and 1/2 day and another amazing think is i got no heating in this phone while i playing games like pubg mobile,cwc2 etc.Also a measure think is there is no comparison of ios with android. IOS is best in his performance.",positive
301,"Overall its a good product, battery backup is little bit good compared to other iphone models.., Camera is Okay but i have seen mostly noise in the photos.Sound quality is as usual awesome, and I didn’t tried underwater test but tried splash test, it’s  up to the mark upon splash proof....I am using it since last 3 months I didn’t face any problem...Go 4 It👍🏻",positive
302,Switched to iPhone XR from MI A2,positive
